Study area;Land cover class;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
ebro;Shrubland;15710850000;15705000000;15698610000;15552180000;15525810000;15551370000;15658290000;15772680000;15828570000;15805620000;15773940000;15728130000;15704100000;15649110000;15658110000;15614910000;15602580000;15620490000;15643530000;15703560000;15719130000;15716250000;15702930000;15700320000;15645600000;15567570000;15485130000;15494580000;15491970000;15407640000;15464700000
ebro;Grassland;24444900000;24437340000;24428250000;24798510000;24884100000;25007130000;25302510000;27464760000;27680130000;27980280000;28153080000;28507140000;28778760000;28755090000;28747800000;28677960000;28606770000;28594890000;28606230000;28601190000;28610190000;28622430000;28660500000;28647360000;28534320000;28392300000;28253520000;28244340000;28265220000;28174140000;28204740000
ebro;Cropland;190489770000;190429920000;190372410000;191190330000;191215980000;191396610000;191793330000;194088420000;194462460000;194277510000;194026140000;193939560000;193778820000;193417110000;193061880000;192621870000;191881890000;191587590000;191601810000;191548620000;191494620000;191422350000;191185290000;191072250000;190593990000;190010970000;189511380000;189257130000;189284670000;189142920000;189080730000
ebro;Wetland;261900000;260910000;260550000;260280000;259830000;259560000;258750000;260460000;260640000;260460000;258840000;257400000;256950000;258300000;261630000;259740000;259650000;258750000;259110000;258660000;257580000;256950000;257220000;257130000;256140000;253440000;251820000;251460000;252360000;252540000;253710000
ebro;Lichens & Mosses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ebro;Bareland;2493810000;2492550000;2492100000;2501370000;2538810000;2541510000;2546640000;2565360000;2567250000;2569860000;2568690000;2561940000;2551590000;2540520000;2539710000;2531160000;2526570000;2524140000;2515140000;2508480000;2502630000;2405430000;2399490000;2396880000;2395710000;2382840000;2366100000;2362410000;2361060000;2353500000;2353410000
ebro;Built-up;2761920000;2847510000;2930400000;3023550000;3123000000;3224790000;3336030000;3444210000;3555540000;3810870000;4096530000;4335930000;4559400000;4865850000;5089500000;5348880000;5520600000;5687280000;5845950000;5997060000;6167430000;6384870000;6630210000;6788520000;6827400000;7238430000;7426710000;7468380000;7468380000;7558470000;7653060000
ebro;Water;117916650000;117915570000;117914940000;117899100000;117856800000;117852300000;117850770000;117850590000;117849060000;117847170000;117846270000;117845730000;117844110000;117839250000;117828630000;117826920000;117823770000;117822870000;117820890000;117819630000;117818280000;117816570000;117814140000;117813420000;117813420000;117813420000;117813420000;117813330000;117812430000;117812070000;117811980000
ebro;Ice/Snow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crati;Forest;24090840000;24088140000;24085440000;23882220000;23785920000;23688540000;23484510000;23350500000;23136930000;23027670000;22970340000;23162940000;23261130000;23261490000;23361570000;23428530000;23532480000;23587290000;23548950000;23541120000;23515740000;23511870000;23499810000;23495760000;23659560000;23675940000;23898690000;24063840000;24091920000;24048540000;24078510000
crati;Shrubland;757620000;757080000;755910000;756180000;756990000;757260000;761940000;769050000;773370000;774450000;774000000;770040000;771030000;770310000;768240000;768060000;766260000;765900000;769320000;769230000;769140000;767520000;769320000;769140000;765630000;764910000;763110000;761850000;761040000;774090000;775890000
crati;Grassland;4826430000;4826160000;4825980000;4859820000;4871880000;4897800000;4954770000;5017680000;5054580000;5068530000;5076630000;5069970000;5074290000;5071590000;5064660000;5062230000;5055210000;5048460000;5049000000;5047560000;5048100000;5047290000;5047470000;5047200000;5030910000;5027400000;5013000000;4998330000;4993200000;4985730000;4975470000
crati;Cropland;54770310000;54755370000;54739710000;54875160000;54935730000;54980460000;55091520000;55125900000;55267110000;55284840000;55280610000;55072350000;54944460000;54896400000;54759150000;54650700000;54517050000;54431100000;54426330000;54394110000;54374490000;54321930000;54261450000;54206370000;54064890000;54027270000;53809920000;53661420000;53639370000;53643870000;53600310000
crati;Wetland;13410000;13410000;13410000;13410000;13230000;13230000;13230000;13230000;13410000;13410000;13410000;13410000;13410000;13410000;13320000;13410000;13860000;13860000;14040000;14040000;14040000;14490000;14490000;14490000;14310000;14220000;14220000;13860000;13860000;13860000;13860000
crati;Lichens & Mosses;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
crati;Bareland;2645820000;2605590000;2564910000;2537370000;2504250000;2464290000;2428020000;2388690000;2340720000;2216430000;2123820000;2064060000;2008170000;1942830000;1900440000;1858770000;1823400000;1790190000;1764630000;1743930000;1720620000;1696230000;1670310000;1648530000;1646190000;1620450000;1599840000;1598040000;1597950000;1572390000;1551600000
crati;Built-up;2283120000;2344590000;2408850000;2474190000;2535930000;2604600000;2675790000;2748330000;2829870000;3031650000;3179250000;3266640000;3347550000;3465630000;3555630000;3643560000;3720510000;3793410000;3859920000;3924090000;3994110000;4081860000;4181400000;4264560000;4264560000;4315860000;4347270000;4348710000;4348710000;4407660000;4450500000
crati;Water;176288400000;176285610000;176281740000;176277600000;176272020000;176269770000;176266170000;176262570000;176259960000;176258970000;176257890000;176256540000;176255910000;176254290000;176252940000;176250690000;176247180000;176245740000;176243760000;176241870000;176239710000;176234760000;176231700000;176229900000;176229900000;176229900000;176229900000;176229900000;176229900000;176229810000;176229810000
crati;Ice/Snow;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
