Study area;Land cover class;1985;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
tevere;Lichens & Mosses;0;0;0;40938300;39441600;40688100;42276600;39978000;41536800;40521600;39685500;40877100;42431400;44694000;48871800;42612300;40965300;40589100;39209400;35030700;35829900;35613000;37610100;36027000;33852600;35451000
po;Lichens & Mosses;0;0;0;314144100;320613300;321998400;342185400;342762300;345777300;342270900;330572700;334217700;335909700;347786100;347778000;331357500;334998900;349219800;345949200;340031700;336158100;344934900;349274700;353853000;351859500;369134100
ebro;Lichens & Mosses;0;0;0;3923100;4284900;4502700;4394700;4587300;5050800;5535000;5951700;5869800;6003900;5722200;5895000;6004800;8342100;8802900;8538300;8127900;7715700;7887600;7503300;7018200;7007400;7279200
crati;Lichens & Mosses;0;0;0;14533200;14615100;15159600;15681600;15903900;16200000;16472700;16296300;15884100;16616700;16777800;17628300;16057800;16324200;16312500;15469200;14323500;14662800;15383700;16495200;15271200;15636600;16022700
tevere;Bareland;15620400;12402900;11412900;8161200;8032500;8916300;10908000;11538900;10769400;10561500;11377800;11156400;11267100;13718700;11688300;11196900;11334600;9907200;10770300;10014300;11140200;10887300;10471500;10555200;12055500;11232900
po;Bareland;2509992000;2469470400;2467954800;2202147000;2156245200;2277304200;2438875800;2593518300;2669957100;2518056000;2525996700;2563649100;2509528500;2588979600;2498373000;2249577900;2110302900;2070288900;2084248800;2077354800;2086280100;2078180100;2096016300;2081746800;2106040500;2111049900
ebro;Bareland;52094700;45462600;52470900;67001400;64500300;61439400;62183700;64202400;64109700;65901600;66251700;63636300;61913700;61947900;61092000;59684400;60730200;59257800;56276100;56529900;57162600;57733200;58399200;56296800;57425400;55098000
crati;Bareland;12069900;8965800;8484300;14780700;16927200;15965100;14853600;14959800;16181100;15347700;15051600;13596300;14270400;14790600;12679200;13866300;13305600;14096700;15342300;13364100;13815000;13935600;14961600;14951700;15720300;15315300
tevere;Built-up;2157122700;2305409400;2489251500;3808995300;3936091500;3954726000;4054935600;4004347500;4053827700;4121414100;4202512200;4238854200;4223555100;4211898300;4259687400;4281450300;4306393800;4289940000;4274735400;4272816600;4264837200;4277937600;4279442400;4210278300;4201277400;4120476300
po;Built-up;11148703200;11898199800;12707799300;17326597500;17757090900;17717058900;18102711600;18207003600;18536546700;18678111300;18948475800;19247706000;19369305000;19456272900;19422903600;19447813800;19330481700;19279111500;19273626900;19440393300;19435919400;19235177100;19332368100;19408833900;19339341300;18928087200
