Point_ID,longitude,latitude,class_name,GE_observed_class
Point_1,15.32916666666668,40.679166666666674,Forest,
Point_2,15.887500000000017,39.64305555555555,Forest,
Point_3,15.881944444444457,38.3125,Forest,
Point_4,15.95416666666668,40.51805555555555,Forest,
Point_5,15.731944444444451,40.51805555555555,Forest,
Point_6,14.109722222222217,41.59027777777777,Forest,
Point_7,16.55138888888891,40.456944444444446,Forest,
Point_8,16.240277777777777,39.043055555555554,Forest,
Point_9,15.743055555555571,40.55694444444444,Forest,
Point_10,16.02916666666667,39.418055555555554,Forest,
Point_11,16.473611111111126,39.0263888888889,Forest,
Point_12,16.543055555555554,39.184722222222234,Forest,
Point_13,16.762500000000017,39.0625,Forest,
Point_14,15.473611111111126,40.168055555555554,Forest,
Point_15,16.354166666666686,39.1513888888889,Forest,
Point_16,16.015277777777783,41.804166666666674,Forest,
Point_17,16.012500000000017,40.576388888888886,Forest,
Point_18,15.998611111111131,39.929166666666674,Forest,
Point_19,13.726388888888891,41.52361111111111,Forest,
Point_20,15.343055555555566,41.68194444444444,Forest,
Point_21,16.34583333333333,39.47638888888889,Forest,
Point_22,16.576388888888886,39.0013888888889,Forest,
Point_23,16.43194444444444,39.27361111111111,Forest,
Point_24,16.27361111111111,38.43194444444444,Forest,
Point_25,16.354166666666686,41.1875,Forest,
Point_26,13.43194444444444,41.79583333333335,Forest,
Point_27,16.270833333333343,38.49583333333334,Forest,
Point_28,13.354166666666686,41.39027777777778,Forest,
Point_29,13.909722222222229,41.76527777777778,Forest,
Point_30,16.06805555555556,39.32361111111112,Forest,
Point_31,15.154166666666669,40.423611111111114,Forest,
Point_32,14.781944444444463,38.076388888888886,Forest,
Point_33,16.65416666666667,39.22638888888889,Forest,
Point_34,16.390277777777783,38.75972222222222,Forest,
Point_35,14.926388888888908,40.24305555555557,Forest,
Point_36,15.918055555555554,41.837500000000006,Forest,
Point_37,15.284722222222229,40.32361111111112,Forest,
Point_38,16.140277777777783,38.34027777777777,Forest,
Point_39,16.06805555555556,40.14583333333334,Forest,
Point_40,15.770833333333343,40.445833333333326,Forest,
Point_41,15.309722222222234,40.190277777777794,Forest,
Point_42,16.73194444444445,39.201388888888886,Forest,
Point_43,15.981944444444451,39.570833333333326,Forest,
Point_44,15.718055555555566,40.55138888888888,Forest,
Point_45,13.70416666666668,41.60138888888889,Forest,
Point_46,16.245833333333337,39.923611111111114,Forest,
Point_47,13.20416666666668,41.543055555555554,Forest,
Point_48,15.754166666666663,38.23194444444445,Forest,
Point_49,13.19861111111112,41.61805555555557,Forest,
Point_50,16.298611111111114,39.53194444444446,Forest,
Point_51,16.32361111111112,38.75694444444446,Forest,
Point_52,16.64861111111111,39.354166666666686,Forest,
Point_53,16.32361111111112,39.48750000000001,Forest,
Point_54,15.859722222222217,39.787499999999994,Forest,
Point_55,13.80694444444444,41.39027777777778,Forest,
Point_56,16.162499999999994,40.195833333333326,Forest,
Point_57,15.112500000000011,40.706944444444446,Forest,
Point_58,16.134722222222223,41.75694444444446,Forest,
Point_59,15.981944444444451,40.53194444444446,Forest,
Point_60,16.140277777777783,40.28194444444446,Forest,
Point_61,15.815277777777794,40.83472222222224,Forest,
Point_62,15.95972222222224,40.89861111111111,Forest,
Point_63,16.80138888888891,39.28194444444446,Forest,
Point_64,15.737500000000011,40.47083333333333,Forest,
Point_65,13.326388888888886,41.50416666666666,Forest,
Point_66,14.44305555555556,40.80694444444444,Forest,
Point_67,13.776388888888903,41.75972222222222,Forest,
Point_68,15.162499999999994,40.331944444444446,Forest,
Point_69,16.593055555555566,39.27083333333334,Forest,
Point_70,16.565277777777794,39.32916666666668,Forest,
Point_71,12.756944444444457,41.7513888888889,Forest,
Point_72,15.465277777777771,38.09583333333333,Forest,
Point_73,16.29027777777779,39.20972222222224,Forest,
Point_74,13.176388888888908,41.684722222222234,Forest,
Point_75,14.712500000000006,40.79027777777779,Forest,
Point_76,13.865277777777777,41.78194444444446,Forest,
Point_77,15.668055555555554,40.537499999999994,Forest,
Point_78,15.06805555555556,40.91527777777779,Forest,
Point_79,15.415277777777789,38.10694444444445,Forest,
Point_80,16.22638888888889,38.5263888888889,Forest,
Point_81,15.862500000000011,40.793055555555554,Forest,
Point_82,15.162499999999994,40.80138888888888,Forest,
Point_83,15.987500000000011,39.86527777777778,Forest,
Point_84,14.80694444444444,41.47638888888889,Forest,
Point_85,16.512500000000017,39.548611111111114,Forest,
Point_86,17.02916666666667,38.96527777777777,Shrubland,
Point_87,15.218055555555566,38.037499999999994,Shrubland,
Point_88,15.512500000000017,40.354166666666686,Shrubland,
Point_89,17.134722222222223,40.63750000000002,Shrubland,
Point_90,16.331944444444446,40.50416666666666,Shrubland,
Point_91,15.231944444444451,40.19305555555556,Shrubland,
Point_92,14.904166666666669,38.08472222222224,Shrubland,
Point_93,13.94305555555556,41.695833333333326,Shrubland,
Point_94,13.229166666666686,41.42083333333335,Shrubland,
Point_95,15.55694444444444,40.081944444444446,Shrubland,
Point_96,13.240277777777777,41.39305555555555,Shrubland,
Point_97,16.854166666666686,40.59027777777777,Shrubland,
Point_98,15.695833333333354,40.08472222222224,Shrubland,
Point_99,15.906944444444463,41.66527777777779,Shrubland,
Point_100,14.909722222222229,38.081944444444446,Shrubland,
Point_101,15.80694444444444,40.18194444444444,Shrubland,
Point_102,15.326388888888886,38.059722222222234,Shrubland,
Point_103,14.826388888888886,38.57361111111112,Shrubland,
Point_104,15.529166666666669,40.320833333333326,Shrubland,
Point_105,14.226388888888891,40.55694444444444,Shrubland,
Point_106,16.020833333333343,38.25972222222222,Shrubland,
Point_107,13.223611111111126,38.0263888888889,Shrubland,
Point_108,16.554166666666674,40.326388888888886,Shrubland,
Point_109,13.9375,41.712500000000006,Shrubland,
Point_110,15.515277777777783,40.35138888888889,Shrubland,
Point_111,15.509722222222223,38.26250000000002,Shrubland,
Point_112,15.131944444444457,40.19861111111112,Shrubland,
Point_113,16.55138888888891,40.190277777777794,Shrubland,
Point_114,15.548611111111114,41.69305555555556,Shrubland,
Point_115,13.251388888888897,41.38194444444446,Shrubland,
Point_116,14.9375,38.45972222222224,Shrubland,
Point_117,16.48750000000001,40.423611111111114,Shrubland,
Point_118,15.645833333333343,40.07916666666668,Shrubland,
Point_119,16.418055555555554,38.33472222222224,Shrubland,
Point_120,14.956944444444446,38.48750000000001,Shrubland,
Point_121,15.69305555555556,38.23750000000001,Shrubland,
Point_122,15.70972222222224,38.2486111111111,Shrubland,
Point_123,13.745833333333337,41.543055555555554,Shrubland,
Point_124,13.873611111111131,41.86805555555557,Shrubland,
Point_125,15.55694444444444,41.684722222222234,Shrubland,
Point_126,16.55138888888891,40.3125,Shrubland,
Point_127,16.490277777777777,38.49583333333334,Shrubland,
Point_128,16.384722222222223,39.831944444444446,Shrubland,
Point_129,15.19861111111112,38.04027777777779,Shrubland,
Point_130,15.398611111111109,40.537499999999994,Shrubland,
Point_131,14.56805555555556,38.570833333333326,Shrubland,
Point_132,15.706944444444446,40.08472222222224,Shrubland,
Point_133,15.340277777777771,38.09027777777777,Shrubland,
Point_134,16.548611111111114,38.5625,Shrubland,
Point_135,16.651388888888903,39.468055555555566,Shrubland,
Point_136,15.223611111111126,40.17638888888888,Shrubland,
Point_137,13.912499999999994,41.85972222222222,Grassland,
Point_138,13.793055555555554,41.49305555555557,Grassland,
Point_139,16.018055555555577,38.23472222222222,Grassland,
Point_140,14.343055555555566,41.88750000000002,Grassland,
Point_141,17.39861111111111,40.418055555555554,Grassland,
Point_142,15.906944444444463,40.6875,Grassland,
Point_143,16.34583333333333,40.95972222222224,Grassland,
Point_144,15.406944444444463,38.065277777777794,Grassland,
Point_145,15.370833333333337,40.7763888888889,Grassland,
Point_146,15.429166666666674,40.01250000000002,Grassland,
Point_147,16.706944444444446,40.77361111111111,Grassland,
Point_148,15.6875,40.75972222222222,Grassland,
Point_149,15.895833333333343,40.445833333333326,Grassland,
Point_150,16.065277777777794,40.054166666666674,Grassland,
Point_151,15.587500000000006,41.77083333333334,Grassland,
Point_152,14.018055555555577,41.80138888888888,Grassland,
Point_153,15.798611111111114,40.21527777777777,Grassland,
Point_154,14.240277777777777,41.47083333333333,Grassland,
